Segment,Balance,logBalance,NumProducts,DigitalUsage,Tenure,FeeIncrease,Complaints,Delinquency_30d,CreditUtilization,InterestRateDiff,Churn
MidValue,3516.3179744782237,8.165454039100352,4,0,97,0,2,0,0.08302659635121501,0.6349502985399237,0
LowValue,4448.320022798175,8.400506559619007,2,1,14,1,1,0,0.3625651026663531,1.0770138292835107,0
MidValue,6931.887891933873,8.844031728601722,1,0,61,0,0,1,0.3255999752962474,1.2286407934203174,0
HighValue,5290.961628698919,8.573944274395808,3,0,8,0,0,0,0.20343939678346276,0.5412040122107001,0
MidValue,6380.346349459785,8.761134380636959,3,1,8,0,0,0,0.7118377616812234,0.8987351724122168,0
MidValue,5865.655686885877,8.677040020802838,3,0,117,0,0,0,0.44914037212136704,0.6404063110600258,0
MidValue,4045.304530443529,8.305559281935192,1,1,88,0,0,0,0.03337179292164341,0.17292953386964788,0
LowValue,5812.92833061544,8.668011754007315,3,0,38,0,0,0,0.1810455073320058,0.5275858681143643,0
MidValue,4525.106823251276,8.417617428047365,1,1,71,0,1,0,0.26991592658385066,0.366883447489881,0
MidValue,4516.41632576156,8.415695500050585,4,1,23,0,0,0,0.26443042962425045,0.40943348493742127,0
MidValue,5145.750978005686,8.546120916513335,4,1,9,1,0,0,0.705907632035582,0.48380762422161766,0
LowValue,2711.104390221573,7.905480140289096,1,0,2,1,0,0,0.40543720305388226,0.11539594842682938,0
HighValue,6788.249156152488,8.823095633606492,3,1,104,1,0,0,0.24318063002328472,0.2830503279048405,0
MidValue,3993.3654872388356,8.292640018862379,3,1,11,0,0,0,0.4600234745635008,0.6972741870563106,0
MidValue,6500.40412948919,8.7797734524762,1,1,43,1,0,0,0.2989070913291329,0.0,0
LowValue,5204.481685779676,8.557467519664392,2,1,102,0,0,0,0.3071229604033099,0.8053799962133716,0
LowValue,7298.049619443194,8.895499429543774,2,1,117,0,0,0,0.8036128265625505,0.6821624478589017,0
MidValue,4010.045879312269,8.296807304077177,1,1,63,0,1,0,0.40882086673291457,0.25920670994787065,0
MidValue,4532.307715295124,8.419207132002226,2,1,93,0,0,0,0.12393863554265117,0.7576034807707315,0
HighValue,5506.653689838239,8.61389398384107,1,0,31,1,0,0,0.030675902535483433,0.5874422534670857,0
HighValue,1688.7933527002938,7.432361523932036,3,0,99,0,0,0,0.3199805166558178,0.0,0
HighValue,6241.882162338105,8.739197239717516,1,1,97,0,1,0,0.39484903840224655,0.2974991197954132,0
MidValue,7312.445592035927,8.89746979491148,3,1,97,1,1,0,0.15340356579091544,0.24439801702913766,0
MidValue,6690.210189897542,8.808550032113587,3,0,71,0,0,0,0.16651291124175874,0.7582263939593504,0
MidValue,6132.154466468376,8.72146449142791,4,1,2,0,0,1,0.21865318008663087,0.5052645958388327,0
MidValue,4781.033160327164,8.47262108239974,3,0,89,1,0,0,0.17266534044099446,0.5243069418708162,0
MidValue,6922.853340589569,8.842727734758885,4,1,115,0,0,0,0.6020111658363948,0.42478043296227774,0
MidValue,6611.045932957915,8.79664840582512,1,1,96,0,1,1,0.24796327263929674,0.2881302096466021,0
HighValue,5588.931266865907,8.628722270342944,1,1,36,0,0,0,0.2983643339028605,0.5372204197805448,0
HighValue,5007.671469243474,8.518925983113885,2,0,34,0,0,0,0.42123449589626005,0.36259621615177307,0
MidValue,4457.349691758615,8.402533952268868,2,1,1,0,1,0,0.20770978499768306,0.09073866865181784,0
HighValue,3154.6517067643326,8.056950316802348,1,0,53,1,1,0,0.554015929951637,0.26185963168948323,0
MidValue,6839.343939231726,8.830593292865833,3,1,98,0,0,0,0.2077005274698061,0.671437888723253,0
HighValue,1741.9341699722277,7.463325276575129,3,1,102,0,0,0,0.2659008468660708,0.08676839884450649,0
HighValue,4444.778981221527,8.399710381462452,4,0,30,0,1,0,0.122427367791892,0.6615141628211192,0
LowValue,5246.570104512002,8.565520411207647,1,1,84,0,1,0,0.12770568684192787,0.7880539918812479,0
MidValue,6289.821776919105,8.746846989319598,4,1,3,0,1,0,0.2606777535153116,0.7360774547072536,0
MidValue,7642.491854767717,8.941609826798828,1,1,67,1,1,0,0.17138081514840653,0.5078866229299995,1
LowValue,6489.985663927717,8.778169672423376,4,0,83,0,0,0,0.40673116816540983,0.6370678944443772,0
HighValue,4562.717860852342,8.42589289067769,3,0,33,0,0,0,0.2526090172278536,0.0,0
MidValue,6092.191336833714,8.71492725248541,3,1,59,0,0,0,0.34240390438052787,0.6753532724695709,0
HighValue,3107.5995246204557,8.041927590124786,2,1,116,1,1,0,0.2913219537900216,0.40560073055976525,0
HighValue,7144.90779003306,8.874295134782365,2,1,62,0,0,0,0.2498756021776527,0.2924902339456239,0
MidValue,4765.287012755892,8.469322876734255,4,1,8,0,1,0,0.4636074584110359,0.24393400691342804,0
MidValue,3989.361275019414,8.291637050902596,1,1,62,1,0,0,0.16118733861420315,0.6585638381254081,1
HighValue,4041.409849351692,8.304596290485637,3,1,16,0,0,0,0.035551944760508054,0.6240984156379253,0
LowValue,4907.958008569441,8.498816980053132,3,1,119,0,0,0,0.15631747802988646,0.09213302292649328,0
MidValue,4410.822616145085,8.392043174702302,4,0,109,0,2,0,0.495692946803119,0.3860593949325392,0
MidValue,8434.864920971868,9.040247529257556,2,1,106,0,0,0,0.37606755078517007,0.7401275530175726,0
MidValue,3922.7282781791064,8.274797572155903,4,0,35,1,0,0,0.3146430521241757,0.433558150638533,0
LowValue,5048.911614735456,8.52712602008366,2,1,102,0,0,0,0.40388221977444994,0.24816313805084506,0
MidValue,5042.074843378458,8.525771263009322,4,0,54,1,0,0,0.163762631035834,0.36503333370038854,0
LowValue,5042.408184109607,8.525837359532831,1,1,99,0,1,0,0.4166570901775032,0.32580287486349757,0
MidValue,5083.018792929063,8.533857328787379,1,0,58,0,0,0,0.30096847880377486,0.49082222484349214,0
MidValue,4277.655712715076,8.361394153426328,4,0,82,0,1,0,0.4048686218166163,0.6691291182070965,0
MidValue,4124.888749303822,8.325036729938505,4,1,75,0,1,1,0.1828587735449617,0.4463872514571598,0
