age,total_invested,risk_tolerance,months_active,app_sessions_month
35,42433,2,3,13
30,18370,4,6,16
37,3224109,1,12,16
44,222139,4,10,18
30,42501,3,6,21
30,56966,1,3,15
44,155952,5,4,18
38,310527,1,4,19
28,43171,2,3,13
36,21350,2,9,17
28,4669,4,1,15
28,253819,2,27,31
33,1046402,4,12,18
18,203880,1,2,17
18,24469,5,1,17
27,766165,4,9,21
23,1984528,3,10,17
34,2169487,2,26,18
24,120943,2,2,16
20,2532,2,1,16
43,2412604,3,19,24
30,92762,2,2,16
32,727721,1,10,18
20,30278,2,1,14
27,112762,3,11,18
32,23579,1,1,11
22,49854,3,9,14
35,140119,4,6,21
27,413122,3,24,26
29,9302,2,1,12
27,71465,2,2,14
46,126506,3,1,17
31,301312,4,16,27
23,43316,1,7,15
38,43413,2,6,18
22,31682,5,1,25
33,1975263,4,5,22
18,156835,1,4,17
21,42065,2,3,15
33,278987,1,11,18
37,54505,3,1,12
33,645420,1,8,19
31,2250625,2,13,17
29,1207889,4,19,25
20,654156,1,10,13
26,52728,2,2,16
28,1146331,4,7,22
40,141831,3,1,13
34,80606,4,1,6
18,687472,5,8,15
34,6331457,4,15,23
28,24265,2,1,15
26,2405,2,1,17
36,268646,1,6,14
40,29114,2,1,12
39,1667388,4,7,13
25,59859,-2,1,15
29,229080,4,1,18
34,64275,3,6,15
39,1125285,2,15,29
28,35006,3,9,19
30,12826,4,13,18
23,24841,2,2,12
22,2087653,3,17,22
38,36465,3,3,18
42,294008,4,15,20
31,138818,2,5,18
40,147268,2,2,21
34,952537,3,2,17
26,200810,3,6,24
34,19621,2,1,18
44,112942,4,21,27
31,17146,1,2,15
44,15959,1,3,18
18,4632,3,2,13
38,210988,4,1,22
32,127253,1,9,16
29,4184258,3,7,12
32,94967,3,13,18
18,7970,3,1,9
30,110426,2,21,26
34,46351,3,3,17
43,1445452,4,19,26
27,52615,1,1,25
25,381207,4,10,21
27,801031,2,6,16
39,377660,1,3,11
34,9938,2,1,21
27,74668,3,7,19
36,46277,2,1,20
32,8765424,1,5,18
39,589543,3,7,10
26,227316,1,10,21
29,2213348,1,37,29
28,25863,4,2,23
20,27402,3,3,18
34,251544,2,3,18
34,321934,3,10,27
32,169421,3,21,18
30,352170,2,29,34
20,417972,3,23,30
28,83717,2,16,21
29,372705,3,37,29
25,7519,1,3,12
30,104279,1,23,34
35,111903,-1,11,22
47,125589,2,1,15
33,199049,1,1,7
34,4221,3,1,11
31,3197122,2,12,23
18,36224,4,7,23
31,130688,4,2,17
32,272758,2,10,13
51,85789,3,1,11
30,106977,3,13,15
34,27270,3,12,17
31,213672,1,28,26
22,11126,2,1,11
41,6280561,3,18,31
38,17438,4,3,16
38,71052,1,4,16
24,27134,2,5,16
43,274271,4,7,21
20,55201,2,42,34
36,1408273,2,7,22
49,823410,3,20,26
24,240477,2,2,18
27,60544,2,4,18
32,83802,-2,5,18
27,310031,3,3,12
19,468494,2,30,34
32,244585,4,10,23
23,64281,1,5,11
35,231705,4,11,31
24,39546,4,5,13
44,16498,2,1,21
25,897660,2,6,25
29,1635421,4,7,20
38,185058,5,31,27
22,42846,1,1,18
33,68302,5,5,19
42,106921,2,1,18
19,31351,4,1,16
33,138749,3,7,18
34,16365,3,2,16
38,46673,3,11,13
22,166140,5,5,12
21,40730,3,1,15
36,314583,2,5,17
34,12990,3,1,22
34,503713,1,15,26
34,86128,2,1,18
26,86656,2,1,16
33,68075,3,7,11
34,271241,3,29,23
26,75460,3,15,19
46,84878,2,2,11
35,96328,5,1,14
22,133602,2,7,20
37,195601,1,13,25
24,40124,2,3,9
38,849066,3,4,12
41,83600,4,1,25
25,48083,2,1,17
39,176191,4,6,13
35,32827,2,1,16
38,8984,2,1,11
47,22376,1,2,9
30,26979,4,4,12
25,4244,2,1,16
24,80368,2,5,14
25,495546,4,21,24
31,32336,2,1,16
34,88665,5,7,15
34,338179,2,14,22
38,63765,3,2,7
32,43129,2,1,15
43,10912,2,1,17
29,367462,4,8,25
53,63160,4,6,14
37,459422,4,2,19
25,71249,4,14,17
23,59506,3,10,22
35,135912,1,2,19
30,777069,2,11,15
37,120589,2,2,13
35,1347329,2,8,17
31,29504,5,1,20
25,221462,1,9,26
19,21185,3,2,22
28,136262,4,6,15
38,158259,1,1,10
33,50483,3,10,18
22,4990,3,1,13
33,15378,2,1,10
35,12277,4,1,16
24,8164,2,1,20
33,1747250,2,10,25
32,867100,3,31,27
22,393317,2,12,29
34,41015,2,15,20
36,7102,4,1,17
40,102082,2,1,17
40,1480228,3,6,19
20,260866,3,30,30
24,110825,3,8,24
36,72549,2,3,22
36,1771,3,1,6
36,52658,2,1,24
62,34197,1,3,17
36,1037299,2,10,24
41,1440,3,1,19
39,282274,1,15,26
37,558517,3,22,17
29,136291,1,17,25
38,161438,3,19,21
25,98679,1,1,11
30,776826,4,30,28
28,32735,4,3,19
32,989105,3,16,20
50,45048,1,1,12
18,37879,4,4,14
37,13706,3,1,15
19,940,4,1,10
28,148326,3,22,26
40,129290,3,13,25
32,57485,3,6,19
23,36413,3,5,14
26,251858,2,11,22
37,287787,4,3,19
26,1067103,2,11,21
33,455160,3,5,20
32,90817,4,8,23
26,372056,3,26,19
49,1308342,2,5,14
37,19908,1,4,14
18,1210168,3,18,25
33,181563,3,18,20
26,369887,3,39,28
38,262569,5,6,12
25,25119,3,3,11
31,580010,3,2,14
36,4646,1,1,17
38,46607,1,10,20
22,61351,3,2,18
29,152212,3,7,17
28,739469,5,19,27
26,1844534,3,24,24
46,12805,4,1,13
35,135043,4,3,23
21,110970,4,14,25
39,1717426,4,6,9
48,277781,3,13,19
40,175384,1,15,18
19,230189,3,4,18
28,39349,2,3,16
42,256149,3,4,12
26,130538,2,8,18
35,88551,3,3,13
38,5464758,1,11,20
24,2110521,1,18,29
31,227147,2,2,11
18,655270,3,26,26
23,20352,3,7,21
29,583929,3,16,21
22,26849,2,1,18
45,101576,2,2,16
20,67224,3,3,22
28,24827,4,2,12
33,37023,3,1,11
43,340625,1,16,25
20,124048,4,4,20
41,92577,3,26,30
32,476596,4,7,25
24,6907,3,1,15
35,55568,2,6,12
33,1306669,4,40,29
27,382316,3,6,14
32,403627,3,1,14
28,199773,3,21,20
32,25403,4,2,8
37,301930,3,9,16
44,1123923,4,5,25
22,1467486,2,3,17
49,53407,4,2,18
18,805595,4,21,27
30,347548,2,19,22
36,148840,4,5,20
34,508478,3,2,11
27,13170,2,1,13
30,404,2,1,23
28,48788,1,5,11
27,225375,1,2,15
38,34719,4,1,19
34,48718,2,4,25
26,164445,3,10,21
39,776802,4,17,23
34,363905,3,7,22
38,636941,4,10,20
37,9533,3,3,17
25,76427,1,5,27
27,30294,2,10,18
37,191045,1,10,19
36,44154,3,4,18
31,415011,3,6,25
32,536335,1,20,21
42,329361,1,7,15
27,169544,1,8,19
36,1413864,3,12,27
30,2941,2,1,11
30,34143,4,5,13
40,1560421,3,25,28
38,59287,3,3,17
38,3046,2,2,13
42,1333600,4,7,19
32,97099,3,1,13
37,375529,3,6,21
29,44798,4,1,13
34,1467350,1,6,18
30,1056598,3,7,16
32,683438,3,4,11
